start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2019-01-07T14:44:09.558439,2019-01-07T14:44:09.582932,0.024493,1,10,1,1,1,1,1,1.0
2019-01-07T14:44:09.583052,2019-01-07T14:44:09.583543,0.000491,1,1,1,1,1,1,1,1.0
2019-01-07T14:44:09.583647,2019-01-07T14:44:09.584115,0.000468,1,0,1,1,1,1,1,1.0
2019-01-07T14:44:09.584216,2019-01-07T14:44:09.584675,0.000459,1,11,1,1,1,1,1,1.0
2019-01-07T14:44:09.584779,2019-01-07T14:44:09.585237,0.000458,1,4,1,1,1,1,1,1.0
2019-01-07T14:44:09.585752,2019-01-07T14:44:09.603070,0.017318,2,3 3,1,3,2,2,2,1.6875
2019-01-07T14:44:09.603345,2019-01-07T14:44:09.604791,0.001446,2,11 1,1,3,2,2,2,1.6875
2019-01-07T14:44:09.604982,2019-01-07T14:44:09.606413,0.001431,2,11 8,1,3,2,2,2,1.6875
2019-01-07T14:44:09.606675,2019-01-07T14:44:09.607618,0.000943,2,9 6,1,2,2,2,2,1.5
2019-01-07T14:44:09.607800,2019-01-07T14:44:09.609209,0.001409,2,0 1,1,3,2,2,2,1.6875
2019-01-07T14:44:09.609883,2019-01-07T14:44:09.610418,0.000535,3,3 8 9,1,1,1,1,1,1.0
2019-01-07T14:44:09.610523,2019-01-07T14:44:09.612957,0.002434,3,0 8 3,1,5,3,3,3,2.230769230769231
2019-01-07T14:44:09.613316,2019-01-07T14:44:09.615768,0.002452,3,11 8 6,1,5,3,3,3,2.230769230769231
2019-01-07T14:44:09.616119,2019-01-07T14:44:09.619293,0.003174,3,9 4 0,1,5,3,3,3,2.230769230769231
2019-01-07T14:44:09.619643,2019-01-07T14:44:09.622066,0.002423,3,6 5 4,1,5,3,3,3,2.230769230769231
2019-01-07T14:44:09.622913,2019-01-07T14:44:09.628242,0.005329,4,5 1 1 6,1,10,4,4,4,3.231707317073171
2019-01-07T14:44:09.629109,2019-01-07T14:44:09.632098,0.002989,4,4 0 11 7,1,6,4,4,4,2.532258064516129
2019-01-07T14:44:09.632604,2019-01-07T14:44:09.636155,0.003551,4,1 8 4 9,1,7,4,4,4,2.611111111111111
2019-01-07T14:44:09.636691,2019-01-07T14:44:09.640405,0.003714,4,11 1 0 10,1,7,4,4,4,2.7625
2019-01-07T14:44:09.641008,2019-01-07T14:44:09.645792,0.004784,4,3 1 6 4,1,8,4,4,4,2.911111111111111
2019-01-07T14:44:09.646854,2019-01-07T14:44:09.651303,0.004449,5,2 5 5 3 10,1,8,5,5,5,3.5555555555555554
2019-01-07T14:44:09.651914,2019-01-07T14:44:09.656700,0.004786,5,1 9 10 2 11,1,9,5,5,5,3.260869565217391
2019-01-07T14:44:09.657389,2019-01-07T14:44:09.662894,0.005505,5,4 11 8 3 10,1,9,5,5,5,3.309090909090909
2019-01-07T14:44:09.663741,2019-01-07T14:44:09.668053,0.004312,5,6 4 1 3 11,1,8,5,5,5,3.402439024390244
2019-01-07T14:44:09.668730,2019-01-07T14:44:09.674954,0.006224,5,6 10 7 2 4,1,12,5,5,5,2.9076923076923076
2019-01-07T14:44:09.676565,2019-01-07T14:44:11.664350,1.987785,6,11 9 6 9 6 5,1,1299,6,6,18,10.872542933995447
2019-01-07T14:44:11.690601,2019-01-07T14:44:11.698328,0.007727,6,0 9 2 3 2 7,1,7,4,4,4,2.75
2019-01-07T14:44:11.698905,2019-01-07T14:44:11.702759,0.003854,6,3 7 11 4 5 2,1,7,4,4,4,2.7875
2019-01-07T14:44:11.703371,2019-01-07T14:44:11.709321,0.00595,6,11 1 2 4 1 9,1,11,6,6,6,3.767857142857143
2019-01-07T14:44:11.710259,2019-01-07T14:44:11.731925,0.021666,6,6 11 3 1 9 11,1,37,6,6,7,4.916387959866221
2019-01-07T14:44:11.735611,2019-01-07T14:44:11.977758,0.242147,7,0 7 6 5 10 7 11,1,183,83,5,10,6.227197346600332
2019-01-07T14:44:11.986667,2019-01-07T14:44:11.993433,0.006766,7,3 3 11 7 4 11 9,1,12,7,7,7,4.6722222222222225
2019-01-07T14:44:11.994673,2019-01-07T14:44:15.489236,3.494563,7,3 5 2 4 0 11 8,1,1444,161,7,18,10.803833491434629
2019-01-07T14:44:15.521995,2019-01-07T14:44:15.534007,0.012012,7,9 10 6 1 2 11 10,1,15,7,7,7,4.761111111111111
2019-01-07T14:44:15.535294,2019-01-07T14:44:15.541103,0.005809,7,5 2 5 4 11 9 9,1,11,5,5,5,3.532934131736527
2019-01-07T14:44:15.542690,2019-01-07T14:44:15.686961,0.144271,8,0 10 1 4 7 10 6 7,1,136,76,8,12,9.986732489972232
2019-01-07T14:44:15.700454,2019-01-07T14:44:15.767975,0.067521,8,9 7 11 1 6 1 3 6,1,80,32,8,11,7.826822157434402
2019-01-07T14:44:15.775367,2019-01-07T14:44:15.807690,0.032323,8,9 10 10 9 5 10 5 2,1,57,8,8,8,5.178489702517163
2019-01-07T14:44:15.814579,2019-01-07T14:44:18.037154,2.222575,8,9 8 11 0 7 9 10 3,1,2540,8,8,21,12.633602672733732
2019-01-07T14:44:18.223678,2019-01-07T14:44:18.254370,0.030692,8,5 4 0 3 3 11 1 11,1,39,8,8,8,5.794117647058823
2019-01-07T14:44:18.258822,2019-01-07T14:53:18.798303,540.539481,9,5 8 7 7 11 7 5 3 5,1,52238,201,9,27,16.868602552838905
2019-01-07T14:53:21.892641,2019-01-07T15:03:22.107635,600.214994,9,1 8 8 4 9 6 8 0 4,0,69482,-1,-1,32,19.01852813211099
2019-01-07T15:03:26.193389,2019-01-07T15:03:26.495540,0.302151,9,9 4 1 2 11 3 11 4 5,1,13,7,7,7,4.196969696969697
2019-01-07T15:03:26.496736,2019-01-07T15:03:48.521456,22.02472,9,11 8 0 11 2 4 5 5 7,1,5747,15,15,21,13.055312081370891
2019-01-07T15:03:49.539340,2019-01-07T15:03:51.724195,2.184855,9,2 11 9 11 3 3 10 11 2,1,1187,79,9,18,11.100944787972002
2019-01-07T15:03:51.812089,2019-01-07T15:04:11.190050,19.377961,10,5 9 11 2 10 7 2 9 1 6,1,6325,10,10,24,16.67808122770022
2019-01-07T15:04:11.857487,2019-01-07T15:04:22.288398,10.430911,10,11 3 11 8 11 1 6 7 4 11,1,4649,8,8,22,13.455165196414635
2019-01-07T15:04:22.463115,2019-01-07T15:14:22.483708,600.020593,10,5 0 4 3 2 10 6 5 9 0,0,113456,-1,-1,31,18.086052982114165
2019-01-07T15:14:27.407146,2019-01-07T15:14:27.916715,0.509569,10,9 9 9 11 3 5 4 11 2 7,1,11,6,6,6,3.767857142857143
2019-01-07T15:14:27.917772,2019-01-07T15:24:27.922582,600.00481,10,7 10 7 0 7 7 2 3 10 0,0,60742,-1,-1,31,17.406939955774792
2019-01-07T15:24:29.578398,2019-01-07T15:34:29.827992,600.249594,11,10 8 4 1 8 5 4 2 1 1 8,0,102164,-1,-1,36,20.13788480311567
2019-01-07T15:34:41.246524,2019-01-07T15:44:41.701566,600.455042,11,10 6 9 8 5 3 6 6 11 10 2,0,82964,-1,-1,31,19.168137290213494
2019-01-07T15:44:46.589449,2019-01-07T15:54:46.956211,600.366762,11,8 7 9 10 11 8 3 8 6 9 0,0,80964,-1,-1,31,18.333843464593148
2019-01-07T15:54:51.278641,2019-01-07T15:57:49.381791,178.10315,11,0 7 0 10 6 8 11 8 11 4 5,1,27981,9,9,28,16.668082578863586
2019-01-07T15:57:51.160560,2019-01-07T16:07:51.267429,600.106869,11,6 2 0 1 3 5 10 9 0 7 4,0,84394,-1,-1,31,18.70516663046059
2019-01-07T16:07:57.452784,2019-01-07T16:07:57.844678,0.391894,12,7 7 0 1 10 5 6 6 6 6 5 5,1,9,4,4,4,2.7818181818181817
2019-01-07T16:07:57.845628,2019-01-07T16:17:57.850272,600.004644,12,9 11 7 9 1 4 4 9 8 11 7 0,0,147240,-1,-1,36,22.402116717238616
2019-01-07T16:18:16.362751,2019-01-07T16:28:17.071256,600.708505,12,6 7 9 7 0 8 4 9 8 8 10 9,0,94443,-1,-1,36,20.584762322648757
2019-01-07T16:28:32.024796,2019-01-07T16:38:32.439563,600.414767,12,0 0 8 10 8 11 11 2 1 3 6 10,0,136188,-1,-1,36,19.255684157852855
2019-01-07T16:38:47.411074,2019-01-07T16:38:48.209588,0.798514,12,10 7 9 7 7 0 7 6 9 10 2 3,1,163,44,8,11,7.816482582837723
2019-01-07T16:38:48.227105,2019-01-07T16:48:48.228412,600.001307,13,3 10 0 3 8 11 4 3 8 8 10 3 4,0,78332,-1,-1,34,18.776139217901104
2019-01-07T16:48:52.781335,2019-01-07T16:58:22.898102,570.116767,13,5 10 11 2 0 5 4 0 5 10 10 11 4,1,71502,7,7,31,16.202572545728657
2019-01-07T16:58:25.259768,2019-01-07T17:08:25.560076,600.300308,13,5 3 8 10 1 6 9 7 0 0 10 1 2,0,120696,-1,-1,34,20.4408104090139
2019-01-07T17:08:38.677557,2019-01-07T17:18:39.251250,600.573693,13,5 6 9 11 3 1 1 11 8 10 9 11 0,0,162422,-1,-1,33,18.96892935573633
2019-01-07T17:18:50.158980,2019-01-07T17:28:50.970918,600.811938,13,7 11 8 6 10 0 8 6 9 9 6 9 6,0,81892,-1,-1,36,21.129603342709775
2019-01-07T17:28:57.046836,2019-01-07T17:38:57.460947,600.414111,14,9 6 2 10 7 9 9 1 4 8 5 8 6 9,0,121576,-1,-1,30,18.275118930648812
2019-01-07T17:39:03.893906,2019-01-07T17:49:04.520704,600.626798,14,1 9 11 0 9 5 9 5 9 11 10 1 6 6,0,79036,-1,-1,35,19.351324738506445
2019-01-07T17:49:09.831021,2019-01-07T17:59:10.184197,600.353176,14,4 9 11 10 3 2 7 10 9 0 8 10 0 8,0,97135,-1,-1,34,19.69256232154972
2019-01-07T17:59:17.689028,2019-01-07T18:09:18.141573,600.452545,14,11 4 6 9 5 7 2 2 9 5 7 2 6 7,0,143079,-1,-1,34,19.440330490473848
2019-01-07T18:09:28.087935,2019-01-07T18:19:28.803745,600.71581,14,11 7 11 0 10 3 11 1 10 7 6 10 6 8,0,167107,-1,-1,32,18.534979663612063
2019-01-07T18:19:54.199761,2019-01-07T18:29:55.070337,600.870576,15,9 7 10 1 10 7 10 9 1 9 8 9 8 11 9,0,122919,-1,-1,34,21.93279873853761
2019-01-07T18:30:23.798214,2019-01-07T18:40:24.386446,600.588232,15,10 11 3 11 8 7 7 0 7 8 11 2 6 6 2,0,153655,-1,-1,34,19.249943400358564
2019-01-07T18:40:40.889187,2019-01-07T18:50:41.677443,600.788256,15,4 8 3 11 11 2 9 4 11 8 5 2 11 1 11,0,143622,-1,-1,38,22.705381560985707
2019-01-07T18:51:08.917242,2019-01-07T19:01:09.640506,600.723264,15,1 5 5 1 9 6 6 2 6 8 4 6 9 0 1,0,143012,-1,-1,33,19.98241963504499
2019-01-07T19:01:23.791643,2019-01-07T19:11:24.502050,600.710407,15,8 4 6 10 8 1 5 4 0 5 1 4 1 8 7,0,172071,-1,-1,35,20.817842064917873
2019-01-07T19:11:53.288295,2019-01-07T19:21:54.197683,600.909388,16,4 2 6 5 1 0 10 5 7 7 9 10 8 6 10 3,0,160646,-1,-1,34,18.869670068329217
