Wall time,Step,Value
1564846160.7599456,1,-20.0
1564846160.7602155,2,-19.979999542236328
1564846160.7604196,3,-19.98040008544922
1564846160.7606108,4,-19.960792541503906
1564846160.7607985,5,-19.94157600402832
1564846160.7609847,6,-19.922744750976562
1564846160.7611694,7,-19.944290161132812
1564846160.761354,8,-19.925403594970703
1564846160.7615404,9,-19.946895599365234
1564846160.761727,10,-19.967958450317383
1564846171.8105948,11,-19.928598403930664
1564846184.5697854,12,-19.93002700805664
1564846199.817578,13,-19.931427001953125
1564846212.2029543,14,-19.952796936035156
1564846223.5090537,15,-19.97374153137207
1564846236.1311247,16,-19.974266052246094
1564846251.338325,17,-19.974781036376953
1564846266.6060016,18,-19.97528648376465
1564846282.4768922,19,-19.975780487060547
1564846297.969965,20,-19.97626495361328
1564846310.2539227,21,-19.99673843383789
1564846322.8068998,22,-20.016803741455078
1564846338.3538175,23,-20.036468505859375
1564846350.6761038,24,-20.05573844909668
1564846362.2328327,25,-20.07462501525879
1564846374.0504444,26,-20.09313201904297
1564846385.7032232,27,-20.09126853942871
1564846391.7111099,28,-20.08944320678711
1564846398.0152164,29,-20.107654571533203
1564846403.5378394,30,-20.105501174926758
1564846408.9468663,31,-20.12339210510254
1564846414.099087,32,-20.12092399597168
1564846419.3029892,33,-20.138505935668945
1564846424.6368,34,-20.15573501586914
1564846430.3848312,35,-20.152620315551758
1564846435.6428797,36,-20.16956901550293
1564846442.1018002,37,-20.146177291870117
1564846447.8580976,38,-20.123252868652344
1564846455.0966754,39,-20.100788116455078
1564846460.8485703,40,-20.118772506713867
1564846465.8193386,41,-20.136396408081055
1564846472.0557802,42,-20.133668899536133
1564846477.9066813,43,-20.1509952545166
1564846483.3702984,44,-20.16797637939453
1564846488.3722594,45,-20.184616088867188
1564846493.9922175,46,-20.180923461914062
1564846499.1226623,47,-20.177305221557617
1564846504.9240658,48,-20.17375946044922
1564846510.2194712,49,-20.190284729003906
1564846516.0737278,50,-20.206478118896484
1564846520.8772447,51,-20.222349166870117
1564846526.8027062,52,-20.2179012298584
1564846531.967426,53,-20.233543395996094
1564846537.0137825,54,-20.248872756958008
1564846542.1662805,55,-20.26389503479004
1564846547.619359,56,-20.258617401123047
1564846553.6387022,57,-20.27344512939453
1564846559.0367854,58,-20.267976760864258
1564846566.0217028,59,-20.242616653442383
1564846573.0736108,60,-20.217763900756836
1564846579.8236656,61,-20.193408966064453
1564846584.95717,62,-20.20954132080078
1564846590.444726,63,-20.205350875854492
1564846595.7534888,64,-20.201242446899414
1564846601.794594,65,-20.21721839904785
1564846607.4727352,66,-20.212873458862305
1564846614.4803154,67,-20.168617248535156
1564846620.735163,68,-20.145244598388672
1564846626.449183,69,-20.122339248657227
1564846632.8573806,70,-20.139892578125
1564846639.8524313,71,-20.097095489501953
1564846645.6766887,72,-20.11515235900879
1564846651.8002865,73,-20.112850189208984
1564846657.4127123,74,-20.130592346191406
1564846664.0758433,75,-20.147981643676758
1564846669.27947,76,-20.165021896362305
1564846675.9354327,77,-20.161720275878906
1564846681.7462566,78,-20.178485870361328
1564846688.2575157,79,-20.194915771484375
1564846693.4681237,80,-20.211017608642578
1564846699.9817026,81,-20.226797103881836
1564846705.1377017,82,-20.24226188659668
1564846711.082598,83,-20.237417221069336
1564846716.9285085,84,-20.232667922973633
1564846723.1275167,85,-20.248014450073242
1564846729.49408,86,-20.26305389404297
1564846736.0035872,87,-20.257793426513672
1564846743.8230498,88,-20.232637405395508
1564846750.2812374,89,-20.227985382080078
1564846756.2393708,90,-20.243425369262695
1564846763.2581325,91,-20.218557357788086
1564846771.412536,92,-20.154186248779297
1564846779.2602477,93,-20.111101150512695
1564846786.6593947,94,-20.08888053894043
1564846799.3887272,95,-19.96710205078125
1564846806.538325,96,-19.987760543823242
1564846815.9285374,97,-19.94800567626953
1564846828.1906834,98,-19.829044342041016
1564846834.8796017,99,-19.83246421813965
1564846846.0162597,100,-19.7158145904541
1564846857.1927361,101,-19.70149803161621
1564846867.8469498,102,-19.62746810913086
1564846880.8511448,103,-19.454919815063477
1564846890.7715936,104,-19.44582176208496
1564846902.4107215,105,-19.39690399169922
1564846912.4738445,106,-19.348966598510742
1564846926.0078924,107,-19.241987228393555
1564846938.3010824,108,-19.157146453857422
1564846947.276888,109,-19.15400505065918
1564846957.4205613,110,-19.070924758911133
1564846968.117358,111,-19.089506149291992
1564846978.845637,112,-19.08771514892578
1564846988.8359957,113,-19.085960388183594
1564847000.6719964,114,-18.964242935180664
1564847013.5642123,115,-18.88495635986328
1564847027.4750216,116,-18.707258224487305
1564847036.7609627,117,-18.673112869262695
1564847046.9665413,118,-18.659650802612305
1564847060.495594,119,-18.546457290649414
1564847072.2216396,120,-18.455528259277344
1564847081.8535905,121,-18.386417388916016
1564847092.7771564,122,-18.35869026184082
1564847106.7000363,123,-18.271514892578125
1564847119.669698,124,-18.206085205078125
1564847130.5189545,125,-18.24196434020996
1564847144.8280656,126,-18.157123565673828
1564847154.9637928,127,-18.173982620239258
1564847170.964831,128,-17.950502395629883
1564847181.2299182,129,-17.951492309570312
1564847191.1363945,130,-17.972461700439453
1564847200.927364,131,-17.993013381958008
1564847212.2479882,132,-17.93315315246582
1564847224.415347,133,-17.814489364624023
1564847236.772431,134,-17.75819969177246
1564847248.0411913,135,-17.703035354614258
1564847258.3489196,136,-17.688976287841797
1564847270.1206412,137,-17.5751953125
1564847281.6986067,138,-17.503692626953125
1564847294.7471545,139,-17.49361801147461
1564847307.188124,140,-17.383745193481445
1564847317.2476048,141,-17.41607093811035
1564847329.762216,142,-17.327749252319336
1564847337.7437427,143,-17.34119415283203
1564847347.6128066,144,-17.274370193481445
1564847361.2965527,145,-17.20888328552246
1564847377.4913456,146,-17.144704818725586
1564847387.375695,147,-17.16181182861328
1564847397.6796238,148,-17.17857551574707
1564847411.5853045,149,-17.075002670288086
1564847423.767382,150,-17.013504028320312
1564847436.464113,151,-16.95323371887207
1564847446.6687002,152,-16.994169235229492
1564847459.7694795,153,-16.91428565979004
1564847472.1111104,154,-16.895999908447266
1564847484.952456,155,-16.818078994750977
1564847499.6199136,156,-16.80171775817871
1564847518.8319597,157,-16.585683822631836
1564847533.1366756,158,-16.593969345092773
1564847549.2055712,159,-16.44209098815918
1564847564.8227391,160,-16.333248138427734
1564847582.4290144,161,-16.246583938598633
1564847599.061722,162,-16.101652145385742
1564847621.3649075,163,-15.839619636535645
1564847637.0612736,164,-15.762826919555664
1564847654.5086987,165,-15.667570114135742
1564847669.6462178,166,-15.594219207763672
1564847684.9222064,167,-15.48233413696289
1564847704.689585,168,-15.272687911987305
1564847717.7264163,169,-15.207234382629395
1564847736.916165,170,-15.103089332580566
1564847755.5690079,171,-15.00102710723877
1564847776.0107083,172,-14.781006813049316
1564847791.9909973,173,-14.645386695861816
1564847808.3563836,174,-14.572479248046875
1564847824.2909782,175,-14.481029510498047
1564847845.727365,176,-14.29140853881836
1564847865.4236345,177,-14.10558032989502
1564847881.1016624,178,-14.063468933105469
1564847904.2881322,179,-13.762199401855469
1564847927.8849754,180,-13.46695613861084
1564847947.6715198,181,-13.337616920471191
1564847967.2061899,182,-13.250864028930664
1564847994.5942516,183,-12.96584701538086
1564848016.6474617,184,-12.786530494689941
1564848037.911883,185,-12.43079948425293
1564848053.709662,186,-12.382183074951172
1564848070.39848,187,-12.35453987121582
1564848096.4196312,188,-12.147449493408203
1564848115.06433,189,-12.004500389099121
1564848134.4899027,190,-11.924409866333008
1564848158.451828,191,-11.765921592712402
1564848182.1954014,192,-11.630603790283203
1564848201.6921577,193,-11.61799144744873
1564848221.3700645,194,-11.625631332397461
1564848235.1362665,195,-11.673118591308594
1564848256.4543428,196,-11.599656105041504
1564848277.644046,197,-11.447663307189941
1564848296.2090034,198,-11.418709754943848
1564848320.7703934,199,-11.270336151123047
1564848339.5109556,200,-11.224928855895996
1564848363.8156943,201,-11.100430488586426
1564848387.1943939,202,-10.938422203063965
1564848411.5556846,203,-10.779653549194336
1564848437.8020852,204,-10.504060745239258
1564848462.4459999,205,-10.413979530334473
1564848482.1481686,206,-10.385699272155762
1564848505.7473307,207,-10.317985534667969
1564848531.2321324,208,-10.191625595092773
1564848558.6517713,209,-10.027793884277344
1564848580.7483907,210,-9.96723747253418
1564848604.1219857,211,-9.907893180847168
1564848627.3594646,212,-9.789734840393066
1564848652.1239965,213,-9.51393985748291
1564848672.3294692,214,-9.543661117553711
1564848694.7098196,215,-9.492788314819336
1564848719.222973,216,-9.382932662963867
1564848746.1883545,217,-9.275274276733398
1564848768.9546,218,-9.229768753051758
1564848792.5122404,219,-9.005172729492188
1564848808.90743,220,-8.665069580078125
1564848828.4322772,221,-8.3717679977417
1564848840.1483853,222,-7.904332637786865
1564848854.1169431,223,-7.426246166229248
1564848874.956873,224,-7.157721042633057
1564848893.7552743,225,-6.814566612243652
1564848917.4700623,226,-6.6182756423950195
1564848936.1789286,227,-6.3259100914001465
1564848946.8203986,228,-5.81939172744751
1564848956.5590558,229,-5.303003787994385
1564848976.7859073,230,-5.01694393157959
1564848999.0553217,231,-4.816605091094971
1564849010.3210392,232,-4.340272903442383
1564849022.0365307,233,-3.893467426300049
1564849040.7766757,234,-3.7155981063842773
1564849055.2886806,235,-3.3412861824035645
1564849068.3068438,236,-2.9744603633880615
