Wall time,Step,Value
1564873233.7976458,1,-21.0
1564873233.7979472,2,-20.959999084472656
1564873233.798173,3,-20.900800704956055
1564873233.7983963,4,-20.90278434753418
1564873233.798585,5,-20.884727478027344
1564873233.798771,6,-20.867033004760742
1564873233.798954,7,-20.869693756103516
1564873233.7991364,8,-20.872299194335938
1564873233.7993188,9,-20.834854125976562
1564873233.799501,10,-20.81815528869629
1564873235.4460034,11,-20.821792602539062
1564873240.7332718,12,-20.82535743713379
1564873247.3428423,13,-20.788850784301758
1564873253.3314397,14,-20.793073654174805
1564873259.4392698,15,-20.777212142944336
1564873264.3957276,16,-20.781667709350586
1564873270.120942,17,-20.786033630371094
1564873275.464076,18,-20.790313720703125
1564873280.9580836,19,-20.774507522583008
1564873287.1733782,20,-20.759016036987305
1564873294.4290204,21,-20.743837356567383
1564873299.5203009,22,-20.748960494995117
1564873305.9896977,23,-20.733980178833008
1564873311.452607,24,-20.739301681518555
1564873317.7931702,25,-20.74451446533203
1564873324.9321773,26,-20.749624252319336
1564873330.6866336,27,-20.73463249206543
1564873336.7937958,28,-20.719940185546875
1564873343.421461,29,-20.705541610717773
1564873349.8294582,30,-20.691429138183594
1564873356.020086,31,-20.677600860595703
1564873363.751093,32,-20.6440486907959
1564873370.7151508,33,-20.611167907714844
1564873377.1361454,34,-20.59894561767578
1564873382.3754818,35,-20.586965560913086
1564873390.0594037,36,-20.555227279663086
1564873398.4953988,37,-20.484121322631836
1564873406.5146625,38,-20.43444061279297
1564873413.3833613,39,-20.405750274658203
1564873420.5093076,40,-20.39763641357422
1564873428.0491965,41,-20.36968231201172
1564873434.9975867,42,-20.362289428710938
1564873444.115,43,-20.2950439453125
1564873452.2023182,44,-20.229143142700195
1564873460.6851447,45,-20.144559860229492
1564873471.3788326,46,-20.041667938232422
1564873481.1706934,47,-19.96083641052246
1564873489.6772623,48,-19.941617965698242
1564873498.9883523,49,-19.902786254882812
1564873507.113919,50,-19.824729919433594
1564873514.2555273,51,-19.848236083984375
1564873524.688583,52,-19.791271209716797
1564873533.267391,53,-19.795446395874023
1564873543.3153796,54,-19.799537658691406
1564873554.7161064,55,-19.723546981811523
1564873566.0825107,56,-19.689075469970703
1564873577.0507317,57,-19.67529296875
1564873586.3420768,58,-19.7017879486084
1564873596.7895455,59,-19.66775131225586
1564873607.2949917,60,-19.65439796447754
1564873619.1503887,61,-19.621309280395508
1564873630.833573,62,-19.568883895874023
1564873641.1720014,63,-19.49750518798828
1564873655.3376424,64,-19.387556076049805
1564873671.623441,65,-19.279804229736328
1564873685.5405784,66,-19.114208221435547
1564873698.061257,67,-19.071924209594727
1564873710.1347535,68,-19.050485610961914
1564873725.416088,69,-19.009475708007812
1564873738.919258,70,-19.029285430908203
1564873753.381946,71,-18.908700942993164
1564873767.5743065,72,-18.850526809692383
1564873785.253449,73,-18.69351577758789
1564873804.7800775,74,-18.599645614624023
1564873824.9979088,75,-18.507652282714844
1564873846.0356708,76,-18.25749969482422
1564873865.204525,77,-18.132349014282227
1564873887.0711164,78,-17.88970184326172
1564873904.9329343,79,-17.791908264160156
1564873925.6862783,80,-17.316070556640625
1564873949.3072128,81,-16.949748992919922
1564873970.0098286,82,-16.490753173828125
1564873985.4196165,83,-15.940938949584961
1564874000.3614912,84,-15.302120208740234
1564874013.5577602,85,-14.676077842712402
1564874026.7062945,86,-14.042555809020996
1564874039.1515133,87,-13.42170524597168
1564874050.1109483,88,-12.753271102905273
1564874060.3834374,89,-12.09820556640625
1564874070.4532037,90,-11.436241149902344
1564874084.953431,91,-10.887516975402832
1564874097.2277846,92,-10.30976676940918
1564874108.7640648,93,-9.723570823669434
1564874119.6873744,94,-9.109099388122559
1564874130.2860115,95,-8.526917457580566
1564874144.9556363,96,-8.056379318237305
1564874156.4275796,97,-7.515251636505127
1564874170.0083134,98,-7.024946689605713
1564874180.6366332,99,-6.464447498321533
1564874192.166508,100,-5.995158672332764
1564874202.6297219,101,-5.455255508422852
1564874214.693145,102,-4.966150283813477
1564874227.196743,103,-4.526827335357666
1564874239.1900208,104,-4.0962910652160645
1564874250.1241899,105,-3.6143651008605957
1564874260.855274,106,-3.122077703475952
1564874272.6088145,107,-2.699636220932007
1564874282.9480724,108,-2.245643377304077
1564874293.85008,109,-1.800730586051941
1564874305.3026543,110,-1.4047160148620605
1564874316.4788713,111,-0.976621687412262
1564874328.0500615,112,-0.577089250087738
1564874339.356141,113,-0.1655474603176117
1564874351.5563471,114,0.17776349186897278
1564874362.7915041,115,0.5742081999778748
1564874376.6236887,116,0.9027240872383118
1564874387.2247,117,1.2846695184707642
1564874398.77668,118,1.6189762353897095
1564874413.8471606,119,1.8865966796875
1564874425.6751635,120,2.208864688873291
1564874436.7604618,121,2.544687509536743
1564874448.8078828,122,2.813793659210205
1564874459.8321054,123,3.177517890930176
1564874472.5569434,124,3.4939675331115723
1564874485.073202,125,3.7640881538391113
1564874497.5067024,126,4.048806190490723
1564874508.233219,127,4.3878302574157715
1564874519.9463007,128,4.720073699951172
1564874532.2100813,129,4.965672016143799
1564874543.5170424,130,5.246358871459961
1564874554.4699962,131,5.5214314460754395
1564874566.5152366,132,5.751002788543701
1564874577.9574745,133,6.055983066558838
1564874588.9384074,134,6.354863166809082
1564874599.774875,135,6.627766132354736
1564874611.734568,136,6.815210819244385
1564874623.0225124,137,7.078906536102295
1564874633.2311025,138,7.357328414916992
1564874645.2019467,139,7.61018180847168
1564874655.8982441,140,7.857977867126465
1564874666.2733793,141,8.120818138122559
1564874677.3481565,142,8.358402252197266
1564874692.1268394,143,8.491233825683594
1564874702.500518,144,8.741409301757812
1564874715.055869,145,8.94658088684082
1564874727.0904768,146,9.167649269104004
1564874738.9153624,147,9.324296951293945
1564874749.581799,148,9.55781078338623
1564874762.612956,149,9.726654052734375
1564874774.5160916,150,9.912121772766113
1564874787.2740011,151,10.053878784179688
1564874797.9163525,152,10.252800941467285
1564874811.352463,153,10.447745323181152
1564874826.100442,154,10.538790702819824
1564874837.725127,155,10.708014488220215
1564874849.182373,156,10.873854637145996
1564874860.1092126,157,11.036376953125
1564874870.9082744,158,11.215649604797363
1564874884.7244208,159,11.331336975097656
1564874896.000866,160,11.524709701538086
1564874906.7913086,161,11.694215774536133
1564874917.0767343,162,11.880331039428711
1564874928.4252748,163,12.042724609375
1564874940.3573363,164,12.181870460510254
1564874951.2324252,165,12.318232536315918
1564874962.1083965,166,12.471868515014648
1564874973.2568874,167,12.602431297302246
1564874984.5727441,168,12.730381965637207
1564874995.3264863,169,12.875774383544922
1564875006.4836717,170,12.998259544372559
1564875016.981492,171,13.158293724060059
1564875027.8878272,172,13.275128364562988
1564875038.9748945,173,13.409625053405762
1564875050.644718,174,13.521432876586914
1564875061.0390453,175,13.671004295349121
1564875071.6702466,176,13.797584533691406
1564875082.9268227,177,13.921632766723633
1564875094.218055,178,14.003199577331543
1564875105.9583068,179,14.10313606262207
1564875117.913689,180,14.181073188781738
1564875129.8000307,181,14.257452011108398
1564875140.3063092,182,14.392302513122559
1564875150.5405436,183,14.524456977844238
1564875160.9232714,184,14.65396785736084
1564875171.3312657,185,14.780888557434082
1564875186.097787,186,14.825270652770996
1564875197.734331,187,14.84876537322998
1564875210.775751,188,14.911789894104004
1564875221.3755991,189,15.013553619384766
1564875231.895022,190,15.133282661437988
1564875243.779295,191,15.210617065429688
1564875254.1603239,192,15.326404571533203
1564875265.4937198,193,15.419877052307129
1564875277.6939416,194,15.49147891998291
1564875289.2909746,195,15.561649322509766
1564875301.038093,196,15.630416870117188
1564875313.2366323,197,15.657808303833008
1564875323.9951744,198,15.744651794433594
1564875336.2309651,199,15.789758682250977
1564875349.875191,200,15.853963851928711
1564875362.0973234,201,15.89688491821289
1564875374.4038978,202,15.938946723937988
1564875385.5991113,203,16.000167846679688
1564875397.0385141,204,16.060165405273438
1564875408.4851003,205,16.098960876464844
1564875422.1190681,206,16.156982421875
1564875435.4361718,207,16.173843383789062
1564875446.4706068,208,16.230365753173828
1564875457.3927598,209,16.28575897216797
1564875467.8185196,210,16.360042572021484
1564875480.465659,211,16.412841796875
1564875491.6289802,212,16.48458480834961
1564875502.9883347,213,16.534893035888672
1564875514.5884936,214,16.624195098876953
1564875525.1599557,215,16.69171142578125
1564875537.6104896,216,16.757877349853516
1564875548.7707732,217,16.80272102355957
1564875559.4395986,218,16.86666488647461
1564875571.6026614,219,16.929332733154297
1564875582.0557828,220,17.010746002197266
1564875593.6341157,221,17.03053092956543
1564875604.0989232,222,17.109920501708984
1564875615.807065,223,17.147722244262695
1564875627.040098,224,17.20476722717285
1564875639.7871914,225,17.260671615600586
1564875650.7935464,226,17.315458297729492
1564875661.378874,227,17.389148712158203
1564875672.4929366,228,17.44136619567871
1564875685.072601,229,17.492538452148438
1564875696.0095987,230,17.542688369750977
1564875706.8005478,231,17.611835479736328
1564875718.0770962,232,17.639596939086914
1564875730.1610613,233,17.666805267333984
1564875743.7243202,234,17.65346908569336
1564875754.7629466,235,17.680400848388672
1564875766.4784782,236,17.7067928314209
1564875777.0310073,237,17.752656936645508
1564875787.6312954,238,17.817604064941406
1564875798.8793237,239,17.841251373291016
1564875809.4068666,240,17.90442657470703
1564875819.743415,241,17.966337203979492
1564875830.9459,242,17.987010955810547
