Wall time,Step,Value
1565000133.0113995,1900,-0.009068400599062443
1565000137.2777574,2500,-0.028256509453058243
1565000148.581456,4100,-0.0832006111741066
1565000149.963334,4300,-0.0901975929737091
1565000152.0597742,4600,-0.0753370150923729
1565000159.7169008,5700,-0.07928074151277542
1565000170.1695952,7200,-0.17372728884220123
1565000172.2688463,7500,-0.17826634645462036
1565000186.3290489,9500,-0.20944306254386902
1565000191.8118093,10300,-0.23536871373653412
1565000194.5554638,10700,-0.22325551509857178
1565000208.3336256,12700,-0.29090580344200134
1565000228.449879,15600,-0.33892011642456055
1565000230.513275,15900,-0.33677026629447937
1565000236.751943,16800,-0.3388770818710327
1565000247.8358526,18400,-0.3659855127334595
1565000249.1968348,18600,-0.3623851239681244
1565000279.566871,23000,-0.3963678479194641
1565000282.9871578,23500,-0.4037746787071228
1565000293.4056664,25000,-0.41754981875419617
1565000297.5210586,25600,-0.4135547876358032
1565000301.1140597,26100,-0.43446049094200134
1565000305.926924,26800,-0.43314942717552185
1565000310.033493,27400,-0.4235958158969879
1565000323.0959547,29300,-0.44932347536087036
1565000334.3793268,30900,-0.45335328578948975
1565000335.74263,31100,-0.44535571336746216
1565000341.2171054,31900,-0.4665776491165161
1565000355.6204114,34000,-0.46251019835472107
1565000361.1583617,34800,-0.44724708795547485
1565000372.240119,36400,-0.48066022992134094
1565000375.0178905,36800,-0.4975825250148773
1565000412.557892,42200,-0.5330192446708679
1565000413.2424777,42300,-0.5360134243965149
1565000425.0755136,44000,-0.5417311787605286
1565000427.2694955,44300,-0.5515636801719666
1565000429.3445814,44600,-0.544913649559021
1565000439.7333987,46100,-0.533798098564148
1565000441.8147597,46400,-0.5389758348464966
1565000442.5106344,46500,-0.5291284918785095
1565000449.4342005,47500,-0.5223498344421387
1565000462.783054,49400,-0.5068296790122986
1565000477.3248148,51500,-0.4997032582759857
1565000489.304989,53200,-0.47160837054252625
1565000492.7416759,53700,-0.4703882336616516
1565000511.6440883,56400,-0.4486429691314697
1565000518.5844796,57400,-0.44340965151786804
1565000522.8613224,58000,-0.4363063871860504
1565000527.7204566,58700,-0.4386780858039856
1565000528.4068034,58800,-0.44413843750953674
1565000551.277994,62100,-0.4107929766178131
1565000552.659788,62300,-0.39819952845573425
1565000561.0280712,63500,-0.3852582275867462
1565000565.8519073,64200,-0.3846346139907837
1565000566.5334587,64300,-0.3964777886867523
1565000567.9075906,64500,-0.38375818729400635
1565000569.9551506,64800,-0.3858638405799866
1565000571.3184574,65000,-0.3641550838947296
1565000579.8102372,66200,-0.3764709532260895
1565000586.7169259,67200,-0.3754701614379883
1565000616.6144834,71500,-0.3112993836402893
1565000619.377539,71900,-0.3212693929672241
1565000622.1545973,72300,-0.3014734089374542
1565000627.6876273,73100,-0.3208286166191101
1565000634.0086322,74000,-0.3084293603897095
1565000643.0009143,75300,-0.3136194944381714
1565000645.749417,75700,-0.3047429025173187
1565000651.926466,76600,-0.29586124420166016
1565000654.6882539,77000,-0.29987025260925293
1565000656.0536711,77200,-0.29400941729545593
1565000657.4177682,77400,-0.29521629214286804
1565000662.2191808,78100,-0.2972102761268616
1565000665.8408625,78600,-0.3148559629917145
1565000667.2051044,78800,-0.31592148542404175
1565000670.631642,79300,-0.29903462529182434
1565000671.996883,79500,-0.3036540746688843
1565000674.9117005,79900,-0.29552161693573
1565000677.6435146,80300,-0.2985101640224457
1565000681.7495975,80900,-0.2801160514354706
1565000682.4350471,81000,-0.2766968607902527
1565000698.461203,83300,-0.23078835010528564
1565000701.194489,83700,-0.2479318529367447
1565000724.1192517,87000,-0.2156994640827179
1565000728.9385633,87700,-0.19828259944915771
1565000733.044383,88300,-0.2151014804840088
1565000742.6583905,89700,-0.18475908041000366
1565000745.4380424,90100,-0.15988530218601227
