Wall time,Step,Value
1566735473.9307148,1,50.0
1566735473.9308798,2,50.0
1566735473.931385,3,50.0
1566735473.9315372,4,50.0
1566735473.9319494,5,50.0
1566735473.9322546,6,50.0
1566735473.9324062,7,50.0
1566735473.9328542,8,50.0
1566735473.9331303,9,50.0
1566735473.9334211,10,50.0
1566735473.9336786,11,50.0
1566735473.933929,12,50.0
1566735473.9340708,13,50.0
1566735473.934415,14,50.0
1566735473.9346554,15,50.0
1566735473.9349568,16,50.0
1566735473.9351113,17,50.0
1566735473.935496,18,50.0
1566735473.9356365,19,50.0
1566735473.9357755,20,50.0
1566735482.6114519,21,50.0
1566735491.9197435,22,50.0
1566735500.6249614,23,50.0
1566735510.0526044,24,50.0
1566735518.6868892,25,50.0
1566735527.9736655,26,50.0
1566735536.6017873,27,50.0
1566735545.8256435,28,50.0
1566735554.562216,29,50.0
1566735564.0204625,30,50.0
1566735572.8324478,31,50.0
1566735582.2933311,32,50.0
1566735591.141886,33,50.0
1566735600.785134,34,50.0
1566735609.8418515,35,50.0
1566735619.5859308,36,50.0
1566735628.7312772,37,50.0
1566735638.5613518,38,50.0
1566735647.7459877,39,50.0
1566735657.6488285,40,50.0
1566735666.9794157,41,50.0
1566735677.0273004,42,50.0
1566735686.4248784,43,50.0
1566735696.4212296,44,50.0
1566735705.7499342,45,50.0
1566735715.638159,46,50.0
1566735725.002179,47,50.0
1566735735.1015854,48,50.0
1566735744.5576167,49,50.0
1566735754.8214128,50,50.0
1566735764.3767717,51,50.0
1566735774.5794766,52,50.0
1566735784.0822976,53,50.0
1566735794.2126713,54,50.0
1566735803.722831,55,50.0
1566735813.9286563,56,50.0
1566735823.55396,57,50.0
1566735833.560489,58,50.0
1566735843.1934195,59,50.0
1566735853.4349859,60,50.0
1566735863.094811,61,50.0
1566735873.2941053,62,50.0
1566735882.9814754,63,50.0
1566735893.2459898,64,50.0
1566735902.811864,65,50.0
1566735913.0382779,66,50.0
1566735922.6592035,67,50.0
1566735932.8383603,68,50.0
1566735942.5700874,69,50.0
1566735952.8697772,70,50.0
1566735962.6175883,71,50.0
1566735972.898129,72,50.0
1566735982.6578662,73,50.0
1566735992.958879,74,50.0
1566736002.7450504,75,50.0
1566736013.1553433,76,50.0
1566736023.0410106,77,50.0
1566736033.47216,78,50.0
1566736043.3232908,79,50.0
1566736053.6758797,80,50.0
1566736063.5180879,81,50.0
1566736073.9960275,82,50.0
1566736083.9234607,83,50.0
1566736094.3918214,84,50.0
1566736104.2353354,85,50.0
1566736114.703551,86,50.0
1566736124.724402,87,50.0
1566736135.212371,88,50.0
1566736145.203476,89,50.0
1566736155.7239602,90,50.0
1566736165.8124783,91,50.0
1566736176.4272857,92,50.0
1566736186.5273793,93,50.0
1566736197.3098571,94,50.0
1566736207.4806209,95,50.0
1566736218.236872,96,50.0
1566736228.2777412,97,50.0
1566736239.0312576,98,50.0
1566736249.17711,99,50.0
1566736259.957951,100,50.0
1566736270.2878458,101,50.0
