Wall time,Step,Value
1566735509.1317384,200,0.0
1566735527.0955653,300,0.0
1566735544.9491396,400,0.0
1566735563.1183429,500,0.0
1566735581.4267392,600,0.0
1566735599.90078,700,0.0
1566735618.702349,800,0.0
1566735637.677799,900,0.0
1566735656.7633631,1000,0.0
1566735676.1471884,1100,0.0
1566735695.5237534,1200,0.0
1566735714.7492673,1300,0.0
1566735734.1454408,1400,0.0
1566735753.9216099,1500,0.0
1566735773.7184517,1600,0.0
1566735793.3473456,1700,0.0
1566735813.0142598,1800,0.0
1566735832.7909198,1900,0.0
1566735852.659388,2000,-1.0
1566735872.5124645,2100,-1.0
1566735892.4673595,2200,-1.0
1566735912.250901,2300,-1.0
1566735932.057032,2400,-1.0
1566735952.084595,2500,-1.0
1566735972.1140049,2600,-1.0
1566735992.171977,2700,-1.0
1566736012.372555,2800,-1.0
1566736032.685765,2900,-1.0
1566736052.8541517,3000,-1.0
1566736073.2120843,3100,-1.0
1566736093.6101043,3200,-1.0
1566736113.9152484,3300,-1.0
1566736134.4414334,3400,-1.0
1566736154.94444,3500,-1.0
1566736175.6510124,3600,-1.0
1566736196.4809918,3700,-1.0
1566736217.4497423,3800,-1.0
1566736238.238274,3900,-1.0
1566736259.167636,4000,-1.0
1566736280.3644214,4100,-1.0
1566736301.7965117,4200,-1.0
1566736323.249991,4300,-1.0
1566736344.6847012,4400,-1.0
1566736366.3510337,4500,-1.0
1566736388.0301318,4600,-1.0
1566736409.7086933,4700,0.0
1566736431.5504622,4800,0.0
1566736453.2979074,4900,0.0
1566736475.0309107,5000,0.0
1566736496.6517963,5100,0.0
1566736518.277284,5200,0.0
1566736539.868206,5300,0.0
1566736561.4394052,5400,0.0
1566736583.2754967,5500,0.0
1566736604.7873652,5600,0.0
1566736626.3600628,5700,0.0
1566736648.0184257,5800,0.0
1566736669.7428145,5900,0.0
1566736691.4014454,6000,0.0
1566736713.115856,6100,0.0
1566736734.7566657,6200,0.0
1566736756.124097,6300,0.0
1566736777.9027317,6400,0.0
1566736799.5624464,6500,0.0
1566736821.1574416,6600,0.0
1566736842.6215248,6700,0.0
1566736864.2099617,6800,0.0
1566736885.8810632,6900,0.0
1566736907.407308,7000,0.0
1566736929.0675323,7100,0.0
1566736950.819407,7200,0.0
1566736972.685876,7300,0.0
1566736994.2605455,7400,0.0
1566737015.914645,7500,0.0
1566737037.630669,7600,0.0
1566737059.2143066,7700,0.0
1566737080.7906885,7800,0.0
1566737102.4965296,7900,0.0
1566737124.3163924,8000,0.0
1566737146.0184405,8100,0.0
1566737168.0113122,8200,0.0
1566737190.1310236,8300,0.0
1566737212.1959949,8400,0.0
1566737234.2857516,8500,0.0
1566737256.359321,8600,0.0
1566737278.4681976,8700,0.0
1566737300.4773078,8800,0.0
1566737322.6249404,8900,0.0
1566737345.1428163,9000,0.0
1566737367.265359,9100,0.0
1566737390.058183,9200,0.0
1566737412.78897,9300,0.0
1566737436.1623516,9400,0.0
1566737459.3316495,9500,0.0
1566737482.6789193,9600,0.0
1566737506.038735,9700,0.0
1566737529.4123268,9800,0.0
1566737552.7337906,9900,0.0
