Wall time,Step,Value
1571579796.502078,6,5.0
1571579796.6739671,19,5.0
1571579802.9781816,25,5.0
1571579809.412671,41,5.0
1571579809.4385068,43,5.0
1571579809.4773617,46,5.0
1571579809.581102,54,5.0
1571579809.6206536,57,5.0
1571579816.0165877,72,5.0
1571579816.0552638,75,5.0
1571579822.4846983,95,5.0
1571579828.7877095,103,5.0
1571579828.8407335,107,5.0
1571579835.5574198,127,5.0
1571579835.7357235,140,5.0
1571579842.1962435,156,5.0
1571579842.2368739,159,5.0
1571579848.5680327,168,5.0
1571579848.7156768,179,5.0
1571579854.9874318,184,5.0
1571579855.014073,186,5.0
1571579855.0274212,187,5.0
1571579855.080888,191,5.0
1571579861.6106958,208,5.0
1571579868.0788786,230,5.0
1571579868.1446562,235,5.0
1571579874.6060116,250,5.0
1571579874.6852686,256,5.0
1571579881.0113332,261,5.0
1571579881.10306,268,5.0
1571579881.1559975,272,5.0
1571579881.1829512,274,5.0
1571579887.6242583,293,5.0
1571579894.0443826,309,5.0
1571579894.0714486,311,5.0
1571579894.179838,319,5.0
1571579900.5383828,331,5.0
1571579900.665253,340,5.0
1571579907.1664445,348,5.0
1571579913.5816507,364,5.0
1571579913.6348267,368,5.0
1571579933.3938255,422,5.0
1571579933.4072144,423,5.0
1571579933.64108,440,5.0
1571579939.9150627,443,5.0
1571579939.9544828,446,5.0
1571579946.3604953,461,5.0
1571579946.400303,464,5.0
1571579946.4135013,465,5.0
1571579946.5464602,475,5.0
1571579952.9826922,492,5.0
1571579953.00912,494,5.0
1571579959.5249286,515,5.0
1571579966.1432962,532,5.0
1571579966.2108002,537,5.0
1571579978.9856515,564,5.0
1571579979.119322,574,5.0
1571579979.2061143,580,5.0
1571579985.463709,582,5.0
1571579985.5287635,587,5.0
1571579985.5417736,588,5.0
1571579992.106521,603,5.0
1571579998.8660543,621,5.0
1571579998.8927178,623,5.0
1571579999.0544438,635,5.0
1571580005.5259497,642,5.0
1571580005.5391903,643,5.0
1571580005.5665588,645,5.0
1571580005.607094,648,5.0
1571580005.6345253,650,5.0
1571580012.1191506,662,5.0
1571580012.2506433,672,5.0
1571580018.6319296,684,5.0
1571580018.6983156,689,5.0
1571580025.3226101,715,5.0
1571580025.3780136,719,5.0
1571580031.6908755,723,5.0
1571580031.7042382,724,5.0
1571580031.7980824,731,5.0
1571580031.9252872,740,5.0
1571580038.2059047,744,5.0
1571580038.2579734,748,5.0
1571580038.3233826,753,5.0
1571580038.376291,757,5.0
1571580044.7404056,766,5.0
1571580044.794013,770,5.0
1571580044.8206487,772,5.0
1571580044.8472764,774,5.0
1571580051.2016077,781,5.0
1571580051.267361,786,5.0
1571580051.2934887,788,5.0
1571580051.3593698,793,5.0
1571580051.3854005,795,5.0
1571580051.439755,799,5.0
1571580057.8374815,803,5.0
1571580057.9163103,809,5.0
1571580057.929788,810,5.0
1571580064.4243882,833,5.0
1571580064.4781034,837,5.0
1571580077.4066563,870,5.0
1571580077.5007856,877,5.0
1571580083.7557857,883,5.0
1571580083.939716,897,5.0
1571580090.2400928,901,5.0
1571580090.3323393,908,5.0
1571580090.3591518,910,5.0
1571580090.438752,916,5.0
1571580090.4662433,918,5.0
1571580096.9363341,932,5.0
1571580096.9496956,933,5.0
1571580103.3041103,943,5.0
1571580103.343515,946,5.0
1571580103.462201,955,5.0
1571580103.5170095,959,5.0
1571580109.8163118,963,5.0
1571580109.9373283,972,5.0
1571580109.9506125,973,5.0
1571580110.0325432,979,5.0
1571580110.0508473,980,5.0
1571580116.3032224,985,5.0
1571580116.4660099,997,5.0
1571580123.0418491,1003,5.0
1571580123.0816998,1006,5.0
1571580123.2026207,1015,5.0
1571580129.5404801,1026,5.0
1571580135.9890053,1045,5.0
1571580136.1632967,1058,5.0
1571580142.4591486,1064,5.0
1571580142.498427,1067,5.0
1571580142.5243907,1069,5.0
1571580142.577153,1073,5.0
1571580142.6574414,1079,5.0
1571580149.1697457,1084,5.0
1571580149.302562,1094,5.0
1571580149.3891742,1100,5.0
1571580155.6299882,1105,5.0
1571580155.7628942,1115,5.0
1571580155.8361087,1120,5.0
1571580168.8126984,1157,5.0
1571580175.039478,1161,5.0
1571580175.0526557,1162,5.0
1571580175.0657396,1163,5.0
1571580181.6352775,1181,5.0
1571580181.800332,1193,5.0
1571580181.8137236,1194,5.0
1571580181.9002337,1200,5.0
1571580188.2748468,1207,5.0
1571580194.805944,1233,5.0
1571580194.832055,1235,5.0
1571580201.2003744,1245,5.0
1571580201.3465033,1256,5.0
1571580201.3872077,1259,5.0
1571580207.6397812,1262,5.0
1571580214.1427577,1282,5.0
1571580214.222516,1288,5.0
1571580214.3158398,1295,5.0
1571580220.5811257,1301,5.0
1571580220.7124007,1311,5.0
1571580220.7918906,1317,5.0
1571580220.8372703,1320,5.0
1571580227.2094123,1331,5.0
1571580227.2489314,1334,5.0
1571580227.289536,1337,5.0
1571580227.3033195,1338,5.0
1571580246.6744587,1386,5.0
1571580246.7137513,1389,5.0
1571580246.753265,1392,5.0
1571580246.7662635,1393,5.0
1571580253.408787,1415,5.0
1571580259.7920847,1427,5.0
1571580259.8183494,1429,5.0
1571580259.8712049,1433,5.0
1571580259.9243515,1437,5.0
1571580266.1976078,1441,5.0
1571580272.9095595,1466,5.0
1571580272.9227781,1467,5.0
1571580273.0702326,1478,5.0
1571580279.428316,1486,5.0
1571580279.4809222,1490,5.0
1571580279.5072055,1492,5.0
1571580285.9716725,1509,5.0
1571580292.4156873,1524,5.0
1571580292.468982,1528,5.0
1571580299.065311,1553,5.0
1571580305.7340095,1569,5.0
1571580305.747525,1570,5.0
1571580312.5312855,1585,5.0
1571580312.5845096,1589,5.0
1571580319.1868706,1605,5.0
1571580319.2000854,1606,5.0
1571580319.3829303,1619,5.0
1571580325.7164087,1628,5.0
1571580325.783064,1633,5.0
1571580325.850712,1638,5.0
1571580332.1098297,1641,5.0
1571580332.1760433,1646,5.0
1571580332.2155476,1649,5.0
1571580338.757665,1661,5.0
1571580338.8670864,1669,5.0
1571580338.9617264,1676,5.0
1571580345.255972,1683,5.0
1571580345.3761802,1692,5.0
1571580345.4294095,1696,5.0
1571580345.443218,1697,5.0
1571580345.4568613,1698,5.0
1571580345.488802,1700,5.0
1571580351.7534177,1703,5.0
1571580351.8458645,1710,5.0
1571580351.9665105,1719,5.0
1571580358.361341,1729,5.0
1571580358.4148688,1733,5.0
1571580358.4415514,1735,5.0
1571580358.4829319,1738,5.0
1571580364.8129616,1743,5.0
1571580364.8532562,1746,5.0
1571580364.8666377,1747,5.0
1571580364.8799503,1748,5.0
1571580371.3974388,1767,5.0
1571580371.5175126,1776,5.0
1571580377.8500743,1782,5.0
1571580377.9429243,1789,5.0
1571580377.9566085,1790,5.0
1571580378.0778315,1799,5.0
1571580384.5155504,1806,5.0
1571580384.6773584,1818,5.0
1571580391.037371,1827,5.0
1571580391.0907571,1831,5.0
1571580397.6558936,1841,5.0
1571580397.7087102,1845,5.0
1571580397.8279035,1854,5.0
1571580404.2703168,1867,5.0
1571580404.3102195,1870,5.0
1571580404.3894718,1876,5.0
1571580404.4168136,1878,5.0
1571580417.3342469,1912,5.0
1571580417.414641,1918,5.0
1571580423.871697,1935,5.0
1571580423.8990016,1937,5.0
1571580423.9264293,1939,5.0
1571580430.2725666,1945,5.0
1571580430.312709,1948,5.0
1571580430.339859,1950,5.0
1571580436.8021164,1968,5.0
1571580443.2293499,1982,5.0
1571580443.2559474,1984,5.0
1571580449.8870912,2002,5.0
